name,race,gender
Alden,human,male
Bran,human,male
Caelum,human,male
Darian,human,male
Eldric,human,male
Faelan,human,male
Gareth,human,male
Haldor,human,male
Ilian,human,male
Jorin,human,male
Kael,human,male
Lorcan,human,male
Maelis,human,male
Nolan,human,male
Orik,human,male
Perrin,human,male
Quinlan,human,male
Rael,human,male
Soren,human,male
Tavish,human,male
Uldric,human,male
Vaelen,human,male
Waelor,human,male
Xander,human,male
Yorin,human,male
Zaelan,human,male
Aeliana,human,female
Brielle,human,female
Callista,human,female
Dahlia,human,female
Elowen,human,female
Fiona,human,female
Genevieve,human,female
Hazel,human,female
Isolde,human,female
Jocelyn,human,female
Kiera,human,female
Laelia,human,female
Mirelle,human,female
Nerida,human,female
Oriana,human,female
Penelope,human,female
Quintessa,human,female
Rhiannon,human,female
Seraphina,human,female
Thalassa,human,female
Ulyssa,human,female
Vivienne,human,female
Willow,human,female
Xanthe,human,female
Ysolde,human,female
Zephyra,human,female
Agnar,dwarf,male
Baldor,dwarf,male
Dain,dwarf,male
Fjorin,dwarf,male
Gimli,dwarf,male
Hrothgar,dwarf,male
Ilgar,dwarf,male
Kili,dwarf,male
Lofar,dwarf,male
Mjorin,dwarf,male
Nori,dwarf,male
Orik,dwarf,male
Rurik,dwarf,male
Thorin,dwarf,male
Ulfar,dwarf,male
Vali,dwarf,male
Vidar,dwarf,male
Yngvar,dwarf,male
Zakar,dwarf,male
name,race,gender
Astrid,dwarf,female
Brynhild,dwarf,female
Dagny,dwarf,female
Elin,dwarf,female
Frida,dwarf,female
Gerta,dwarf,female
Helga,dwarf,female
Ingrid,dwarf,female
Jorunn,dwarf,female
Kelda,dwarf,female
Lilja,dwarf,female
Maren,dwarf,female
Nora,dwarf,female
Ornella,dwarf,female
Pernilla,dwarf,female
Runa,dwarf,female
Sif,dwarf,female
Tindra,dwarf,female
Vigdis,dwarf,female
Ylva,dwarf,female
Aelar,elf,male
Caelar,elf,male
Eldrin,elf,male
Faelar,elf,male
Gaelar,elf,male
Ildrin,elf,male
Jaelar,elf,male
Kaelar,elf,male
Laelar,elf,male
Maelar,elf,male
Naelar,elf,male
Ondrin,elf,male
Paelar,elf,male
Quaelar,elf,male
Raelar,elf,male
Saelar,elf,male
Taelar,elf,male
Uldrin,elf,male
Vaelar,elf,male
Waelar,elf,male
Xaelar,elf,male
Yaelar,elf,male
Zaelar,elf,male
Aeliana,elf,female
Brielle,elf,female
Callista,elf,female
Dahlia,elf,female
Elowen,elf,female
Fiona,elf,female
Genevieve,elf,female
Hazel,elf,female
Isolde,elf,female
Jocelyn,elf,female
Kiera,elf,female
Laelia,elf,female
Mirelle,elf,female
Nerida,elf,female
Oriana,elf,female
Penelope,elf,female
Quintessa,elf,female
Rhiannon,elf,female
Seraphina,elf,female
Thalassa,elf,female
Ulyssa,elf,female
Vivienne,elf,female
Willow,elf,female
Xanthe,elf,female
Ysolde,elf,female
Zephyra,elf,female
